AWSFileName	AWSFolderName
Fraser-Coast_M_79972	QLD_Fraser_Coast
Fraser-Coast_M_87546	QLD_Fraser_Coast
Fraser_Coast_M_93594	QLD_Fraser_Coast
Gold_Coast_F_54909	QLD_Gold_Coast
Gold_Coast_M_54910	QLD_Gold_Coast
Gold_Coast_M_54980	QLD_Gold_Coast
Gold_Coast_M_56090	QLD_Gold_Coast
Gold_Coast_M_61808	QLD_Gold_Coast
Gold_Coast_M_62309	QLD_Gold_Coast
Gold_Coast_M_66922	QLD_Gold_Coast
Gold_Coast_M_70414	QLD_Gold_Coast
Gold_Coast_M_71441	QLD_Gold_Coast
Gold_Coast_F_73511	QLD_Gold_Coast
Gold_Coast_M_78719	QLD_Gold_Coast
Gold_Coast_M_84814	QLD_Gold_Coast
Gympie_F_82257	QLD_Gympie
Gympie_M_87743	QLD_Gympie
Gympie_F_92626	QLD_Gympie
Gympie_F_93216	QLD_Gympie
Gympie_F_93694	QLD_Gympie
Gympie_M_95464	QLD_Gympie
Livingstone_F_54945	QLD_Livingstone
Mackay_F_63479	QLD_Mackay
MBR_M_Dazza	QLD_Moreton_Bay_Region
MBR_F_Julia	QLD_Moreton_Bay_Region
MBR_F_Coco	QLD_Moreton_Bay_Region
MBR_F_Tamara-O	QLD_Moreton_Bay_Region
MBR_F_Josie	QLD_Moreton_Bay_Region
MBR_F_The-Hoff	QLD_Moreton_Bay_Region
MBR_F_Bubbles	QLD_Moreton_Bay_Region
MBR_M_Andrew	QLD_Moreton_Bay_Region
MBR_F_Jadore	QLD_Moreton_Bay_Region
MBR_M_Doddy	QLD_Moreton_Bay_Region
MBR_M_Bobby	QLD_Moreton_Bay_Region
MBR_F_Lana	QLD_Moreton_Bay_Region
MBR_F_Tanja	QLD_Moreton_Bay_Region
MBR_F_Millie	QLD_Moreton_Bay_Region
MBR_M_Branson	QLD_Moreton_Bay_Region
MBR_F_Rizzo	QLD_Moreton_Bay_Region
Noosa_M_49880	QLD_Sunshine_Coast
Noosa_F_65657	QLD_Sunshine_Coast
Noosa_F_70593	QLD_Sunshine_Coast
Noosa_F_74009	QLD_Sunshine_Coast
Noosa_M_79211	QLD_Sunshine_Coast
Noosa_F_79303	QLD_Sunshine_Coast
Noosa_M_79763	QLD_Sunshine_Coast
North_Burnett_M_55989	QLD_North_Burnett
North_Burnett_F_72194	QLD_North_Burnett
North_Burnett_M_73175	QLD_North_Burnett
North_Burnett_F_87227	QLD_North_Burnett
Redland_M_63768	QLD_Redland
Redland_M_71818	QLD_Redland
Redland_M_83962	QLD_Redland
Redland_F_94829	QLD_Redland
Redland_F_95776	QLD_Redland
Hidden-Vale_F_Claire	QLD_Somerset
Hidden-Vale_F_Shamala	QLD_Somerset
South_Burnett_M_53159	QLD_South_Burnett
South_Burnett_M_65901	QLD_South_Burnett
South_Burnett_M_80665	QLD_South_Burnett
South_Burnett_F_85725	QLD_South_Burnett
South_Burnett_F_86009	QLD_South_Burnett
South_Burnett_F_86231	QLD_South_Burnett
South_Burnett_F_86628	QLD_South_Burnett
South_Burnett_F_86919	QLD_South_Burnett
South_Burnett_F_93286	QLD_South_Burnett
South_Burnett_F_95162	QLD_South_Burnett
Southern_Downs_F_62050	QLD_Southern_Downs
Sunshine_Coast_M_76877	QLD_Sunshine_Coast
Sunshine_Coast_M_79598	QLD_Sunshine_Coast
Sunshine_Coast_M_79817	QLD_Sunshine_Coast
Sunshine_Coast_M_86054	QLD_Sunshine_Coast
Atherton_M	QLD_Tablelands
FarNorthQLD_K2	QLD_Tablelands
FarNorthQLD_K3	QLD_Tablelands
Toowoomba_F_55522	QLD_Toowoomba
Toowoomba_F_58076	QLD_Toowoomba
Toowoomba_F_58264	QLD_Toowoomba
Toowoomba_F_70978	QLD_Toowoomba
Toowoomba_M_72310	QLD_Toowoomba
Toowoomba_F_74526	QLD_Toowoomba
Toowoomba_F_79192	QLD_Toowoomba
Toowoomba_F_79193	QLD_Toowoomba
Toowoomba_F_79503	QLD_Toowoomba
Toowoomba_F_86343	QLD_Toowoomba
Toowoomba_F_87937	QLD_Toowoomba
Toowoomba_F_92545	QLD_Toowoomba
Western_Downs_F_55372	QLD_Western_Downs
Western_Downs_F_70143	QLD_Western_Downs
Western_Downs_F_70719	QLD_Western_Downs
Western_Downs_M_70754	QLD_Western_Downs
Western_Downs_M_75384	QLD_Western_Downs
Western_Downs_F_82321	QLD_Western_Downs
